This file was created by CMPT_EP_CFP_OP_INV_NI_AC_RETS using the 201612 CRSP database.
It contains value- and equal-weighted returns for portfolios formed on NI.

The portfolios are constructed at the end of June. NI (net stock issues), the change in the natural 
log of the split-adjusted shares outstanding from the fiscal year-end in t-2 to t-1.

Annual returns are from January to December.

Missing data are indicated by -99.99 or -999.

The break points include utilities and include financials.

The  portfolios  include utilities and include financials.


  Value Weighted Returns -- Monthly
,< 0 ,ZERO,Lo 20,Qnt 2,Qnt 3,Qnt 4,Hi 20,Lo 10,Dec 2,Dec 3,Dec 4,Dec 5,Dec 6,Dec 7,Dec 8,Dec 9,Hi 10
198909,    1239,     883,     375,     452,     471,     528,    1009,     201,     174,     243,     209,     224,     247,     268,     260,     437,     572
198910,    1229,     877,     370,     451,     470,     526,    1003,     197,     173,     242,     209,     224,     246,     267,     259,     434,     569
198911,    1221,     874,     363,     448,     467,     522,     992,     194,     169,     240,     208,     223,     244,     265,     257,     429,     563
198912,    1212,     868,     360,     444,     465,     520,     988,     193,     167,     236,     208,     222,     243,     263,     257,     427,     561
199001,    1208,     861,     354,     439,     463,     513,     978,     191,     163,     233,     206,     220,     243,     258,     255,     423,     555
199002,    1203,     854,     354,     438,     460,     511,     966,     191,     163,     233,     205,     218,     242,     257,     254,     419,     547
199003,    1196,     843,     351,     437,     459,     509,     958,     191,     160,     232,     205,     218,     241,     257,     252,     418,     540
199004,    1192,     837,     347,     436,     458,     509,     942,     188,     159,     232,     204,     218,     240,     257,     252,     413,     529
199005,    1182,     830,     344,     433,     454,     507,     935,     185,     159,     231,     202,     215,     239,     255,     252,     409,     526
199006,    1176,     818,     341,     429,     448,     503,     919,     183,     158,     229,     200,     214,     234,     251,     252,     400,     519
199007,    1040,     901,     496,     444,     486,     572,    1032,     267,     229,     212,     232,     260,     226,     292,     280,     361,     671
199008,    1035,     891,     492,     442,     481,     570,    1026,     266,     226,     212,     230,     259,     222,     291,     279,     358,     668
199009,    1030,     887,     490,     441,     479,     566,    1019,     266,     224,     211,     230,     258,     221,     288,     278,     355,     664
199010,    1022,     879,     488,     438,     477,     563,    1009,     264,     224,     209,     229,     257,     220,     287,     276,     351,     658
199011,    1017,     874,     487,     436,     477,     559,     991,     264,     223,     208,     228,     257,     220,     284,     275,     345,     646
199012,    1013,     870,     486,     433,     474,     557,     984,     263,     223,     207,     226,     256,     218,     283,     274,     344,     640
199101,    1012,     864,     484,     429,     473,     553,     970,     262,     222,     205,     224,     255,     218,     281,     272,     340,     630
199102,    1008,     861,     481,     428,     473,     550,     962,     259,     222,     204,     224,     255,     218,     280,     270,     336,     626
199103,     999,     857,     480,     428,     470,     548,     952,     259,     221,     204,     224,     255,     215,     278,     270,     332,     620
199104,     996,     848,     474,     425,     468,     542,     941,     257,     217,     203,     222,     254,     214,     275,     267,     329,     612
199105,     991,     841,     473,     424,     466,     539,     935,     257,     216,     203,     221,     254,     212,     272,     267,     328,     607
199106,     987,     837,     471,     423,     465,     536,     929,     256,     215,     203,     220,     253,     212,     270,     266,     326,     603
199107,    1183,     903,     450,     475,     426,     633,     891,     199,     251,     240,     235,     232,     194,     305,     328,     307,     584
199108,    1176,     891,     448,     475,     423,     631,     888,     199,     249,     240,     235,     230,     193,     305,     326,     305,     583
199109,    1174,     885,     446,     475,     423,     629,     882,     198,     248,     240,     235,     230,     193,     304,     325,     302,     580
199110,    1167,     878,     443,     475,     422,     627,     874,     195,     248,     240,     235,     229,     193,     304,     323,     302,     572
199111,    1163,     872,     441,     472,     419,     620,     869,     194,     247,     238,     234,     229,     190,     300,     320,     301,     568
199112,    1159,     863,     438,     470,     418,     615,     855,     191,     247,     237,     233,     228,     190,     297,     318,     296,     559
199201,    1153,     853,     436,     469,     418,     609,     851,     190,     246,     237,     232,     228,     190,     295,     314,     295,     556
199202,    1148,     844,     436,     466,     416,     607,     844,     190,     246,     236,     230,     228,     188,     295,     312,     293,     551
199203,    1146,     832,     434,     466,     414,     602,     839,     189,     245,     236,     230,     226,     188,     294,     308,     292,     547
199204,    1140,     819,     433,     463,     410,     598,     834,     188,     245,     234,     229,     223,     187,     291,     307,     291,     543
199205,    1134,     808,     431,     461,     408,     594,     817,     188,     243,     234,     227,     223,     185,     289,     305,     284,     533
199206,    1124,     794,     425,     458,     404,     586,     811,     185,     240,     231,     227,     220,     184,     283,     303,     280,     531
199207,     943,     886,     508,     504,     503,     623,    1049,     255,     253,     256,     248,     237,     266,     308,     315,     327,     722
199208,     938,     872,     502,     500,     502,     619,    1041,     250,     252,     255,     245,     237,     265,     306,     313,     324,     717
199209,     936,     864,     502,     499,     500,     614,    1036,     250,     252,     255,     244,     237,     263,     302,     312,     323,     713
199210,     930,     855,     502,     494,     496,     612,    1023,     250,     252,     252,     242,     235,     261,     301,     311,     322,     701
199211,     928,     850,     498,     494,     493,     611,    1018,     249,     249,     252,     242,     234,     259,     300,     311,     318,     700
199212,     925,     846,     496,     490,     493,     609,    1013,     248,     248,     249,     241,     234,     259,     298,     311,     317,     696
199301,     922,     838,     495,     488,     490,     607,    1010,     248,     247,     248,     240,     234,     256,     297,     310,     315,     695
199302,     914,     833,     494,     488,     489,     605,    1008,     248,     246,     248,     240,     234,     255,     297,     308,     315,     693
199303,     909,     830,     493,     487,     483,     599,    1000,     248,     245,     247,     240,     229,     254,     296,     303,     312,     688
199304,     906,     826,     491,     487,     481,     596,     998,     246,     245,     247,     240,     227,     254,     295,     301,     312,     686
199305,     904,     822,     490,     487,     480,     593,     994,     246,     244,     247,     240,     227,     253,     294,     299,     310,     684
199306,     902,     817,     490,     485,     479,     588,     986,     246,     244,     247,     238,     226,     253,     292,     296,     310,     676
199307,     740,     718,     568,     545,     655,     797,    1285,     282,     286,     279,     266,     321,     334,     383,     414,     474,     811
199308,     738,     713,     566,     544,     652,     792,    1276,     281,     285,     278,     266,     319,     333,     381,     411,     468,     808
199309,     736,     710,     565,     542,     647,     790,    1272,     281,     284,     277,     265,     317,     330,     380,     410,     467,     805
199310,     733,     707,     563,     542,     643,     782,    1267,     281,     282,     277,     265,     314,     329,     374,     408,     465,     802
199311,     733,     698,     560,     540,     641,     778,    1264,     280,     280,     277,     263,     314,     327,     371,     407,     465,     799
199312,     728,     689,     554,     538,     638,     776,    1254,     277,     277,     276,     262,     313,     325,     369,     407,     457,     797
199401,     723,     681,     552,     535,     635,     772,    1251,     277,     275,     275,     260,     310,     325,     366,     406,     456,     795
199402,     720,     674,     549,     532,     634,     768,    1244,     274,     275,     273,     259,     310,     324,     363,     405,     455,     789
199403,     714,     670,     548,     531,     632,     767,    1237,     273,     275,     273,     258,     309,     323,     362,     405,     453,     784
199404,     712,     666,     543,     528,     629,     763,    1232,     270,     273,     271,     257,     307,     322,     360,     403,     451,     781
199405,     710,     659,     541,     526,     628,     761,    1220,     270,     271,     271,     255,     307,     321,     358,     403,     447,     773
199406,     704,     656,     538,     524,     623,     755,    1208,     270,     268,     270,     254,     306,     317,     357,     398,     439,     769
199407,     750,     628,     589,     619,     747,     841,    1511,     267,     322,     294,     325,     362,     385,     391,     450,     441,    1070
199408,     746,     622,     585,     616,     743,     832,    1505,     266,     319,     292,     324,     361,     382,     387,     445,     439,    1066
199409,     739,     612,     583,     611,     738,     829,    1496,     265,     318,     290,     321,     359,     379,     386,     443,     436,    1060
199410,     735,     606,     578,     609,     732,     826,    1488,     261,     317,     290,     319,     358,     374,     385,     441,     435,    1053
199411,     730,     602,     577,     606,     730,     818,    1477,     261,     316,     287,     319,     357,     373,     383,     435,     433,    1044
199412,     727,     595,     570,     601,     719,     811,    1465,     258,     312,     284,     317,     353,     366,     379,     432,     429,    1036
199501,     723,     587,     566,     598,     715,     805,    1454,     256,     310,     283,     315,     351,     364,     377,     428,     429,    1025
199502,     718,     584,     564,     595,     710,     804,    1438,     255,     309,     281,     314,     348,     362,     376,     428,     426,    1012
199503,     711,     576,     559,     592,     708,     801,    1425,     252,     307,     280,     312,     346,     362,     375,     426,     423,    1002
199504,     708,     574,     557,     590,     704,     798,    1413,     252,     305,     279,     311,     346,     358,     373,     425,     418,     995
199505,     703,     566,     553,     586,     698,     795,    1401,     250,     303,     277,     309,     342,     356,     370,     425,     415,     986
199506,     698,     560,     551,     584,     696,     790,    1378,     249,     302,     276,     308,     340,     356,     366,     424,     412,     966
199507,     967,     611,     661,     677,     692,     884,    1490,     344,     317,     340,     337,     327,     365,     382,     502,     570,     920
199508,     965,     607,     656,     677,     688,     876,    1475,     340,     316,     340,     337,     326,     362,     378,     498,     567,     908
199509,     958,     603,     654,     673,     684,     874,    1462,     339,     315,     338,     335,     325,     359,     378,     496,     565,     897
199510,     953,     597,     645,     670,     682,     863,    1450,     335,     310,     337,     333,     325,     357,     375,     488,     562,     888
199511,     948,     591,     638,     665,     676,     859,    1440,     331,     307,     335,     330,     322,     354,     373,     486,     559,     881
199512,     942,     586,     633,     663,     673,     851,    1428,     328,     305,     333,     330,     319,     354,     371,     480,     554,     874
199601,     936,     580,     629,     656,     665,     841,    1411,     324,     305,     331,     325,     315,     350,     367,     474,     548,     863
199602,     933,     575,     622,     649,     663,     835,    1397,     320,     302,     329,     320,     315,     348,     364,     471,     545,     852
199603,     924,     570,     618,     643,     659,     833,    1392,     317,     301,     327,     316,     312,     347,     364,     469,     543,     849
199604,     914,     563,     614,     639,     657,     830,    1383,     315,     299,     324,     315,     310,     347,     364,     466,     541,     842
199605,     906,     555,     612,     636,     651,     828,    1374,     314,     298,     322,     314,     309,     342,     362,     466,     539,     835
199606,     903,     549,     609,     633,     649,     827,    1363,     314,     295,     320,     313,     307,     342,     361,     466,     534,     829
199607,    1067,     630,     586,     637,     698,    1022,    1600,     286,     300,     287,     350,     341,     357,     464,     558,     568,    1032
199608,    1061,     623,     583,     635,     692,    1014,    1584,     285,     298,     287,     348,     337,     355,     459,     555,     562,    1022
199609,    1054,     618,     581,     633,     686,    1006,    1576,     285,     296,     287,     346,     334,     352,     453,     553,     560,    1016
199610,    1046,     613,     578,     625,     685,    1001,    1564,     282,     296,     283,     342,     334,     351,     451,     550,     559,    1005
199611,    1040,     607,     574,     621,     683,     994,    1555,     280,     294,     282,     339,     334,     349,     447,     547,     556,     999
199612,    1032,     601,     571,     616,     675,     987,    1538,     279,     292,     280,     336,     332,     343,     443,     544,     551,     987
199701,    1026,     597,     566,     608,     669,     980,    1524,     276,     290,     278,     330,     327,     342,     440,     540,     548,     976
199702,    1022,     593,     563,     603,     665,     974,    1511,     275,     288,     277,     326,     326,     339,     438,     536,     543,     968
199703,    1013,     585,     560,     601,     661,     967,    1494,     273,     287,     275,     326,     323,     338,     434,     533,     539,     955
199704,    1005,     579,     558,     598,     653,     963,    1485,     273,     285,     273,     325,     316,     337,     434,     529,     537,     948
199705,    1000,     571,     555,     595,     649,     957,    1476,     272,     283,     271,     324,     315,     334,     431,     526,     534,     942
199706,     992,     564,     552,     590,     643,     949,    1454,     272,     280,     271,     319,     312,     331,     428,     521,     525,     929
199707,    1184,     566,     634,     649,     797,    1070,    1711,     281,     353,     312,     337,     347,     450,     524,     546,     575,    1136
199708,    1171,     559,     629,     640,     789,    1061,    1693,     280,     349,     307,     333,     342,     447,     520,     541,     568,    1125
199709,    1160,     553,     626,     639,     778,    1049,    1682,     279,     347,     306,     333,     338,     440,     513,     536,     566,    1116
199710,    1150,     548,     618,     633,     772,    1040,    1668,     277,     341,     304,     329,     335,     437,     512,     528,     558,    1110
199711,    1142,     545,     615,     630,     764,    1030,    1652,     274,     341,     304,     326,     332,     432,     508,     522,     551,    1101
199712,    1131,     528,     609,     625,     754,    1016,    1629,     272,     337,     301,     324,     326,     428,     500,     516,     543,    1086
199801,    1119,     519,     603,     617,     752,    1008,    1612,     270,     333,     298,     319,     325,     427,     496,     512,     539,    1073
199802,    1112,     514,     598,     612,     746,     997,    1594,     269,     329,     297,     315,     322,     424,     490,     507,     534,    1060
199803,    1095,     508,     594,     605,     738,     987,    1573,     267,     327,     293,     312,     317,     421,     486,     501,     531,    1042
199804,    1083,     501,     588,     598,     729,     983,    1557,     264,     324,     288,     310,     311,     418,     484,     499,     528,    1029
199805,    1078,     497,     583,     594,     721,     973,    1534,     261,     322,     287,     307,     308,     413,     479,     494,     521,    1013
199806,    1068,     489,     576,     586,     712,     962,    1507,     259,     317,     284,     302,     306,     406,     473,     489,     512,     995
199807,    1239,     468,     704,     694,     931,    1112,    1451,     335,     369,     327,     367,     439,     492,     541,     571,     606,     845
199808,    1230,     465,     693,     681,     922,    1102,    1433,     331,     362,     320,     361,     433,     489,     538,     564,     599,     834
199809,    1225,     453,     687,     675,     915,    1087,    1405,     328,     359,     315,     360,     429,     486,     528,     559,     592,     813
199810,    1207,     442,     678,     666,     901,    1073,    1368,     323,     355,     310,     356,     422,     479,     521,     552,     578,     790
199811,    1192,     435,     672,     661,     892,    1062,    1361,     321,     351,     307,     354,     416,     476,     516,     546,     574,     787
199812,    1182,     428,     663,     655,     880,    1047,    1339,     315,     348,     305,     350,     411,     469,     506,     541,     567,     772
199901,    1172,     423,     648,     648,     872,    1031,    1320,     307,     341,     302,     346,     407,     465,     497,     534,     560,     760
199902,    1167,     418,     640,     642,     865,    1017,    1296,     303,     337,     298,     344,     403,     462,     490,     527,     549,     747
199903,    1156,     415,     632,     633,     851,     995,    1266,     300,     332,     295,     338,     398,     453,     478,     517,     532,     734
199904,    1151,     410,     626,     627,     843,     980,    1243,     297,     329,     290,     337,     392,     451,     470,     510,     523,     720
199905,    1137,     405,     621,     623,     838,     970,    1221,     294,     327,     288,     335,     389,     449,     468,     502,     517,     704
199906,    1128,     394,     610,     616,     830,     956,    1202,     290,     320,     281,     335,     384,     446,     463,     493,     509,     693
199907,    1450,     369,     603,     673,     819,     980,    1202,     280,     323,     314,     359,     422,     397,     505,     475,     570,     632
199908,    1434,     363,     597,     663,     805,     973,    1183,     277,     320,     309,     354,     410,     395,     502,     471,     560,     623
199909,    1420,     359,     587,     654,     792,     962,    1168,     273,     314,     303,     351,     403,     389,     495,     467,     551,     617
199910,    1413,     349,     579,     646,     784,     947,    1156,     268,     311,     300,     346,     401,     383,     488,     459,     545,     611
199911,    1397,     345,     569,     639,     774,     933,    1128,     262,     307,     296,     343,     397,     377,     481,     452,     532,     596
199912,    1379,     341,     560,     629,     766,     925,    1111,     257,     303,     289,     340,     393,     373,     475,     450,     520,     591
200001,    1368,     336,     559,     622,     763,     908,    1100,     256,     303,     284,     338,     391,     372,     468,     440,     518,     582
200002,    1359,     331,     556,     613,     750,     899,    1088,     255,     301,     280,     333,     381,     369,     463,     436,     512,     576
200003,    1341,     323,     548,     605,     741,     894,    1074,     249,     299,     277,     328,     377,     364,     461,     433,     506,     568
200004,    1331,     317,     543,     597,     735,     880,    1067,     246,     297,     273,     324,     374,     361,     453,     427,     503,     564
200005,    1321,     316,     535,     590,     729,     872,    1056,     241,     294,     268,     322,     371,     358,     449,     423,     496,     560
200006,    1305,     313,     526,     583,     719,     862,    1043,     239,     287,     266,     317,     367,     352,     443,     419,     488,     555
200007,    1729,     322,     459,     526,     623,     935,    1394,     220,     239,     269,     257,     276,     347,     411,     524,     532,     862
200008,    1718,     321,     455,     519,     614,     925,    1378,     220,     235,     266,     253,     272,     342,     408,     517,     528,     850
200009,    1700,     316,     447,     513,     608,     916,    1362,     218,     229,     265,     248,     272,     336,     404,     512,     522,     840
200010,    1682,     310,     434,     508,     600,     899,    1342,     213,     221,     263,     245,     270,     330,     400,     499,     513,     829
200011,    1662,     308,     425,     498,     592,     887,    1324,     208,     217,     256,     242,     265,     327,     394,     493,     507,     817
200012,    1640,     303,     419,     493,     582,     880,    1298,     205,     214,     254,     239,     260,     322,     392,     488,     497,     801
200101,    1621,     297,     407,     487,     575,     867,    1276,     197,     210,     252,     235,     259,     316,     389,     478,     491,     785
200102,    1609,     292,     401,     483,     570,     859,    1258,     193,     208,     251,     232,     257,     313,     386,     473,     486,     772
200103,    1595,     285,     396,     478,     566,     849,    1240,     189,     207,     249,     229,     254,     312,     383,     466,     477,     763
200104,    1580,     278,     393,     475,     561,     836,    1204,     187,     206,     247,     228,     250,     311,     374,     462,     465,     739
200105,    1563,     271,     386,     469,     551,     824,    1180,     184,     202,     243,     226,     245,     306,     365,     459,     458,     722
200106,    1554,     265,     381,     463,     546,     811,    1154,     183,     198,     239,     224,     243,     303,     360,     451,     446,     708
200107,    1646,     279,     428,     430,     492,     860,    1482,     208,     220,     201,     229,     198,     294,     400,     460,     574,     908
200108,    1630,     275,     422,     417,     485,     846,    1446,     206,     216,     193,     224,     194,     291,     390,     456,     559,     887
200109,    1616,     271,     419,     415,     483,     839,    1432,     204,     215,     193,     222,     194,     289,     388,     451,     551,     881
200110,    1607,     268,     417,     409,     479,     830,    1419,     203,     214,     192,     217,     193,     286,     385,     445,     545,     874
200111,    1597,     261,     411,     402,     474,     815,    1395,     200,     211,     187,     215,     192,     282,     379,     436,     534,     861
200112,    1584,     256,     405,     400,     470,     809,    1381,     195,     210,     185,     215,     188,     282,     375,     434,     530,     851
200201,    1568,     250,     402,     397,     465,     802,    1365,     194,     208,     183,     214,     187,     278,     372,     430,     526,     839
200202,    1560,     246,     395,     394,     461,     795,    1347,     190,     205,     181,     213,     186,     275,     367,     428,     522,     825
200203,    1552,     238,     394,     388,     458,     790,    1332,     190,     204,     177,     211,     184,     274,     364,     426,     519,     813
200204,    1539,     237,     389,     385,     456,     782,    1307,     190,     199,     175,     210,     183,     273,     363,     419,     506,     801
200205,    1532,     235,     387,     384,     451,     777,    1290,     188,     199,     174,     210,     181,     270,     360,     417,     496,     794
200206,    1523,     234,     384,     380,     447,     772,    1278,     185,     199,     172,     208,     179,     268,     359,     413,     490,     788
200207,    1314,     296,     526,     513,     648,     842,    1027,     241,     285,     244,     269,     303,     345,     374,     468,     444,     583
200208,    1304,     291,     521,     510,     640,     830,    1011,     239,     282,     244,     266,     299,     341,     372,     458,     437,     574
200209,    1295,     291,     516,     508,     635,     825,    1001,     237,     279,     244,     264,     299,     336,     370,     455,     433,     568
200210,    1286,     286,     512,     505,     631,     813,     983,     234,     278,     243,     262,     296,     335,     364,     449,     424,     559
200211,    1280,     284,     509,     499,     628,     809,     969,     232,     277,     240,     259,     294,     334,     363,     446,     422,     547
200212,    1274,     282,     507,     494,     621,     801,     953,     232,     275,     238,     256,     289,     332,     360,     441,     413,     540
200301,    1261,     278,     502,     490,     616,     793,     940,     230,     272,     235,     255,     287,     329,     356,     437,     409,     531
200302,    1255,     275,     500,     482,     610,     790,     930,     230,     270,     233,     249,     285,     325,     353,     437,     402,     528
200303,    1240,     269,     494,     480,     603,     779,     906,     226,     268,     232,     248,     280,     323,     349,     430,     393,     513
200304,    1230,     266,     492,     479,     598,     773,     895,     226,     266,     231,     248,     278,     320,     348,     425,     386,     509
200305,    1226,     255,     489,     474,     596,     768,     888,     225,     264,     230,     244,     277,     319,     348,     420,     384,     504
200306,    1221,     251,     487,     470,     590,     764,     877,     225,     262,     229,     241,     271,     319,     346,     418,     380,     497
200307,    1179,     236,     584,     555,     615,     700,     891,     280,     304,     275,     280,     290,     325,     365,     335,     370,     521
200308,    1171,     232,     580,     548,     609,     692,     884,     277,     303,     271,     277,     285,     324,     361,     331,     367,     517
200309,    1167,     231,     576,     546,     606,     688,     877,     277,     299,     271,     275,     285,     321,     359,     329,     364,     513
200310,    1164,     227,     571,     541,     605,     684,     866,     276,     295,     269,     272,     284,     321,     356,     328,     363,     503
200311,    1154,     225,     567,     537,     600,     676,     862,     272,     295,     269,     268,     281,     319,     349,     327,     361,     501
200312,    1139,     221,     563,     535,     595,     672,     859,     270,     293,     268,     267,     279,     316,     346,     326,     360,     499
200401,    1128,     217,     559,     532,     592,     667,     856,     268,     291,     266,     266,     277,     315,     345,     322,     359,     497
200402,    1120,     215,     559,     530,     587,     665,     849,     268,     291,     265,     265,     276,     311,     345,     320,     357,     492
200403,    1116,     212,     555,     524,     585,     660,     845,     266,     289,     259,     265,     274,     311,     341,     319,     357,     488
200404,    1109,     208,     553,     519,     582,     652,     842,     266,     287,     254,     265,     271,     311,     336,     316,     357,     485
200405,    1101,     206,     547,     516,     580,     650,     835,     262,     285,     253,     263,     271,     309,     334,     316,     353,     482
200406,    1091,     204,     543,     515,     575,     646,     832,     261,     282,     252,     263,     268,     307,     332,     314,     353,     479
200407,    1001,     208,     545,     515,     550,     783,    1005,     259,     286,     253,     262,     266,     284,     354,     429,     381,     624
200408,     996,     206,     541,     514,     546,     779,     998,     257,     284,     253,     261,     264,     282,     352,     427,     380,     618
200409,     991,     205,     540,     513,     541,     776,     994,     256,     284,     253,     260,     262,     279,     350,     426,     378,     616
200410,     983,     203,     534,     511,     538,     771,     989,     253,     281,     252,     259,     261,     277,     346,     425,     375,     614
200411,     971,     201,     532,     509,     536,     769,     981,     253,     279,     252,     257,     260,     276,     346,     423,     370,     611
200412,     966,     197,     527,     507,     532,     765,     975,     250,     277,     251,     256,     260,     272,     345,     420,     368,     607
200501,     957,     194,     524,     505,     527,     759,     969,     249,     275,     251,     254,     258,     269,     342,     417,     365,     604
200502,     950,     190,     517,     504,     527,     756,     966,     245,     272,     250,     254,     258,     269,     339,     417,     364,     602
200503,     941,     189,     514,     502,     525,     755,     959,     243,     271,     249,     253,     258,     267,     339,     416,     360,     599
200504,     934,     189,     512,     500,     523,     750,     950,     243,     269,     248,     252,     256,     267,     338,     412,     357,     593
200505,     925,     187,     512,     496,     519,     744,     942,     243,     269,     246,     250,     254,     265,     336,     408,     354,     588
200506,     921,     186,     509,     494,     515,     734,     939,     240,     269,     245,     249,     252,     263,     330,     404,     353,     586
200507,     771,     158,     526,     538,     575,     750,    1236,     266,     260,     249,     289,     273,     302,     343,     407,     541,     695
200508,     765,     156,     524,     531,     567,     744,    1227,     265,     259,     246,     285,     269,     298,     339,     405,     537,     690
200509,     760,     156,     519,     529,     564,     736,    1222,     261,     258,     244,     285,     267,     297,     336,     400,     533,     689
200510,     752,     154,     516,     523,     562,     730,    1212,     259,     257,     240,     283,     266,     296,     334,     396,     528,     684
200511,     749,     154,     513,     520,     557,     727,    1200,     257,     256,     238,     282,     266,     291,     333,     394,     524,     676
200512,     744,     150,     508,     516,     551,     724,    1191,     257,     251,     235,     281,     261,     290,     331,     393,     521,     670
200601,     740,     149,     504,     511,     544,     718,    1181,     253,     251,     233,     278,     259,     285,     328,     390,     520,     661
200602,     734,     148,     500,     508,     540,     714,    1169,     253,     247,     232,     276,     259,     281,     324,     390,     515,     654
200603,     729,     147,     498,     502,     537,     713,    1161,     252,     246,     228,     274,     259,     278,     323,     390,     512,     649
200604,     724,     146,     496,     496,     535,     708,    1154,     250,     246,     225,     271,     259,     276,     322,     386,     510,     644
200605,     719,     146,     495,     495,     528,     701,    1145,     250,     245,     225,     270,     257,     271,     319,     382,     508,     637
200606,     714,     146,     494,     493,     525,     697,    1135,     249,     245,     224,     269,     255,     270,     316,     381,     503,     632
200607,     934,     132,     517,     558,     607,     630,    1073,     262,     255,     284,     274,     266,     341,     292,     338,     456,     617
200608,     928,     132,     514,     554,     604,     629,    1067,     260,     254,     282,     272,     264,     340,     291,     338,     454,     613
200609,     925,     131,     511,     551,     603,     626,    1061,     258,     253,     281,     270,     263,     340,     291,     335,     453,     608
200610,     917,     131,     508,     551,     598,     622,    1051,     258,     250,     281,     270,     260,     338,     288,     334,     450,     601
200611,     910,     131,     502,     541,     597,     619,    1045,     257,     245,     276,     265,     260,     337,     287,     332,     447,     598
200612,     908,     129,     498,     535,     590,     613,    1036,     256,     242,     274,     261,     257,     333,     283,     330,     446,     590
200701,     901,     128,     492,     529,     586,     602,    1027,     252,     240,     272,     257,     256,     330,     278,     324,     443,     584
200702,     898,     127,     489,     523,     582,     596,    1022,     251,     238,     270,     253,     255,     327,     277,     319,     441,     581
200703,     892,     126,     486,     522,     580,     590,    1014,     250,     236,     269,     253,     255,     325,     275,     315,     437,     577
200704,     883,     124,     485,     518,     569,     582,    1006,     249,     236,     267,     251,     255,     314,     272,     310,     436,     570
200705,     880,     122,     481,     517,     564,     579,     995,     247,     234,     266,     251,     255,     309,     269,     310,     428,     567
200706,     872,     121,     478,     511,     556,     573,     992,     246,     232,     265,     246,     249,     307,     266,     307,     428,     564
200707,    1037,     123,     483,     437,     543,     671,    1074,     250,     233,     191,     246,     272,     271,     322,     349,     392,     682
200708,    1033,     122,     479,     430,     537,     663,    1066,     250,     229,     190,     240,     268,     269,     319,     344,     390,     676
200709,    1031,     119,     478,     427,     534,     652,    1059,     250,     228,     187,     240,     267,     267,     314,     338,     386,     673
200710,    1016,     118,     475,     422,     532,     643,    1053,     250,     225,     183,     239,     265,     267,     310,     333,     384,     669
200711,    1003,     118,     470,     417,     530,     635,    1043,     246,     224,     182,     235,     263,     267,     308,     327,     380,     663
200712,     997,     116,     466,     409,     527,     633,    1033,     245,     221,     178,     231,     261,     266,     307,     326,     374,     659
200801,     994,     115,     466,     407,     523,     630,    1024,     245,     221,     178,     229,     260,     263,     305,     325,     372,     652
200802,     989,     114,     464,     403,     520,     626,    1014,     244,     220,     177,     226,     259,     261,     303,     323,     368,     646
200803,     983,     113,     459,     402,     517,     617,    1006,     241,     218,     176,     226,     256,     261,     298,     319,     366,     640
200804,     976,     113,     454,     401,     513,     613,     995,     239,     215,     176,     225,     255,     258,     296,     317,     361,     634
200805,     969,     113,     451,     397,     507,     607,     982,     238,     213,     174,     223,     253,     254,     293,     314,     355,     627
200806,     964,     113,     448,     396,     506,     603,     974,     238,     210,     174,     222,     252,     254,     292,     311,     350,     624
200807,    1239,     114,     481,     380,     437,     649,     919,     272,     209,     168,     212,     200,     237,     319,     330,     352,     567
200808,    1233,     114,     479,     376,     435,     640,     910,     271,     208,     166,     210,     200,     235,     316,     324,     350,     560
200809,    1224,     112,     477,     372,     432,     637,     900,     269,     208,     163,     209,     198,     234,     313,     324,     346,     554
200810,    1219,     111,     471,     366,     429,     632,     888,     266,     205,     160,     206,     197,     232,     309,     323,     342,     546
200811,    1208,     107,     470,     363,     424,     629,     878,     265,     205,     157,     206,     196,     228,     307,     322,     338,     540
200812,    1203,     104,     467,     359,     421,     623,     871,     262,     205,     156,     203,     195,     226,     302,     321,     337,     534
200901,    1195,     101,     462,     359,     419,     620,     861,     260,     202,     156,     203,     194,     225,     302,     318,     333,     528
200902,    1193,     101,     456,     355,     417,     617,     848,     257,     199,     155,     200,     194,     223,     300,     317,     328,     520
200903,    1184,     101,     453,     348,     416,     613,     834,     254,     199,     152,     196,     193,     223,     297,     316,     325,     509
200904,    1177,     101,     448,     345,     412,     607,     824,     252,     196,     152,     193,     193,     219,     294,     313,     323,     501
200905,    1174,     101,     446,     342,     410,     603,     814,     252,     194,     150,     192,     191,     219,     291,     312,     322,     492
200906,    1169,     100,     441,     338,     407,     600,     800,     249,     192,     147,     191,     189,     218,     291,     309,     319,     481
200907,    1408,     173,     420,     386,     471,     516,     584,     233,     187,     199,     187,     233,     238,     261,     255,     264,     320
200908,    1404,     168,     418,     385,     468,     513,     579,     231,     187,     199,     186,     233,     235,     258,     255,     263,     316
200909,    1395,     163,     418,     384,     466,     510,     578,     231,     187,     199,     185,     231,     235,     257,     253,     262,     316
200910,    1388,     158,     416,     383,     461,     505,     574,     229,     187,     198,     185,     229,     232,     254,     251,     260,     314
200911,    1381,     155,     413,     380,     453,     503,     565,     227,     186,     197,     183,     225,     228,     254,     249,     257,     308
200912,    1375,     150,     410,     380,     452,     496,     560,     226,     184,     197,     183,     225,     227,     250,     246,     256,     304
201001,    1369,     148,     407,     378,     451,     490,     553,     225,     182,     197,     181,     224,     227,     248,     242,     255,     298
201002,    1363,     145,     406,     374,     444,     490,     549,     224,     182,     196,     178,     220,     224,     248,     242,     253,     296
